Ano;Mês/Ano;Estado;Bacia;Campo;Poço;Ambiente;Instalação;Produção de Óleo (m³);Produção de Condensado (m³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Água (m³);Injeção de Gás (Mm³);Injeção de Água para Recuperação Secundária (m³);Injeção de Água para Descarte (m³);Injeção de Gás Carbônico (Mm³);Injeção de Nitrogênio (Mm³);Injeção de Vapor de Água (t);Injeção de Polímeros (m³);Injeção de Outros Fluidos (m³)
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-22D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-24D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-28D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-31D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-36HP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-38HP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-39HP-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-3D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-4D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-8D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;7-XA-9-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Ceará;Ceará;XARÉU;8-XA-25D-CES;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;ABALONE;7-ABA-2D-ESS;Mar;FPSO ESPIRITO SANTO;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-10H-ESS;Mar;FPSO ESPIRITO SANTO;8519;1831;0;554;75003;0;28241;62195;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-13H-ESS;Mar;FPSO ESPIRITO SANTO;17758;88047;0;941;96498;0;28280;61593;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-14H-ESS;Mar;FPSO ESPIRITO SANTO;8308;13342;0;530;3645;0;22986;29422;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-17H-ESS;Mar;FPSO ESPIRITO SANTO;11;20505;0;1;23627;0;1901;58484;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-18H-ESS;Mar;FPSO ESPIRITO SANTO;3906;92472;0;166;6709;0;4196;12104;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-19H-ESS;Mar;FPSO ESPIRITO SANTO;10218;85348;0;556;11431;0;14581;13157;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-20H-ESS;Mar;FPSO ESPIRITO SANTO;10748;63106;0;961;6007;0;6520;66045;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-2H-ESS;Mar;FPSO ESPIRITO SANTO;1008;3122;0;49;25635;0;2625;94262;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-3H-ESS;Mar;FPSO ESPIRITO SANTO;580;10916;0;35;4985;0;17065;67773;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-4HC-ESS;Mar;FPSO ESPIRITO SANTO;1309;71494;0;111;1285;0;16230;961;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-5H-ESS;Mar;FPSO ESPIRITO SANTO;2990;88669;0;186;94694;0;6970;91088;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-8H-ESS;Mar;FPSO ESPIRITO SANTO;4618;73353;0;318;30972;0;6139;51116;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-ARGO-9H-ESS;Mar;FPSO ESPIRITO SANTO;3184;10808;0;227;5166;0;23994;3374;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-NAU-1H-ESS;Mar;FPSO ESPIRITO SANTO;1577;1075;0;113;83807;0;0;35775;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-NAU-2H-ESS;Mar;FPSO ESPIRITO SANTO;2425;7754;0;408;9053;0;7458;107;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-NAU-3H-ESS;Mar;FPSO ESPIRITO SANTO;2744;35183;0;206;89845;0;343;52907;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;7-NAU-4H-ESS;Mar;FPSO ESPIRITO SANTO;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;8-ARGO-11H-ESS;Mar;FPSO ESPIRITO SANTO;;;;;;0;63913;80651;0;0;0;0;0
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;8-ARGO-12H-ESS;Mar;FPSO ESPIRITO SANTO;;;;;;0;57242;39229;0;0;0;0;0
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;8-ARGO-6H-ESS;Mar;FPSO ESPIRITO SANTO;;;;;;0;37160;61093;0;0;0;0;0
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;8-ARGO-7H-ESS;Mar;FPSO ESPIRITO SANTO;;;;;;0;51704;46997;0;0;0;0;0
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;8-NAU-5H-ESS;Mar;FPSO ESPIRITO SANTO;;;;;;0;0;0;0;0;0;0;0
2022;02/2022;Espírito Santo;Campos;ARGONAUTA;8-NAU-6H-ESS;Mar;FPSO ESPIRITO SANTO;;;;;;0;0;0;0;0;0;0;0
2022;02/2022;Espírito Santo;Campos;BALEIA ANÃ;7-BLA-1HA-ESS;Mar;PETROBRAS 58;13343;62;0;711;78476;0;101550;26;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;3-BRSA-149HP-ESS;Mar;PETROBRAS 57;14581;748;0;903;9793;0;91532;772;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;6-BRSA-1222A-ESS;Mar;PETROBRAS 58;46308;901;0;9766;4245;0;48521;554;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;6-BRSA-631DB-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;6-BRSA-639-ESS;Mar;FPSO CAPIXABA;52331;105;0;10998;10901;0;14004;54;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BAZ-10DA-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BAZ-3-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BAZ-4-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BAZ-8-ESS;Mar;PETROBRAS 58;11901;88;0;2808;35981;0;12608;299;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BAZ-9HA-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BFR-10HP-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BFR-12PA-ESS;Mar;PETROBRAS 58;43333;581;0;12520;88904;0;4989;219;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BFR-13H-ESS;Mar;PETROBRAS 58;16682;622;0;1473;3777;0;54150;12;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BFR-6-ESS;Mar;PETROBRAS 58;;;;;;0;166395;0;0;0;0;0;0
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-BFR-7-ESS;Mar;PETROBRAS 58;29427;118;0;6185;47288;0;8566;156;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-CHT-5HA-ESS;Mar;FPSO CAPIXABA;10302;392;0;680;33147;0;23343;736;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-CHT-7HP-ESS;Mar;FPSO CAPIXABA;16805;673;0;1168;6221;0;23608;635;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-CHT-9H-ESS;Mar;FPSO CAPIXABA;7036;14;0;680;26181;0;22691;47;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-11HP-ESS;Mar;PETROBRAS 57;6411;628;0;278;60679;0;54300;441;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-13HP-ESS;Mar;PETROBRAS 57;14781;564;0;843;71639;0;105237;769;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-14HA-ESS;Mar;PETROBRAS 57;5049;604;0;227;11049;0;53385;278;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-16HP-ESS;Mar;PETROBRAS 57;16797;839;0;929;342;0;66482;344;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-18HP-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-19H-ESS;Mar;PETROBRAS 57;10001;623;0;677;30387;0;71671;383;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-24H-ESS;Mar;PETROBRAS 57;11751;938;0;734;95133;0;110138;205;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-27HP-ESS;Mar;PETROBRAS 57;15054;348;0;905;73664;0;96122;653;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-2HPA-ESS;Mar;PETROBRAS 57;6595;54;0;364;3948;0;9408;505;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-31H-ESS;Mar;PETROBRAS 57;13767;656;0;761;63807;0;82822;713;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-33H-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
2022;02/2022;Espírito Santo;Campos;JUBARTE;7-JUB-34H-ESS;Mar;Não Informado;0;0;0;0;0;;;;;;;;
