Ano;Mês/Ano;Estado;Bacia;Campo;Poço;Ambiente;Instalação;Produção de Óleo (m³);Produção de Condensado (m³);Produção de Gás Associado (Mm³);Produção de Gás Não Associado (Mm³);Produção de Água (m³);Injeção de Gás (Mm³);Injeção de Água para Recuperação Secundária (m³);Injeção de Água para Descarte (m³);Injeção de Gás Carbônico (Mm³);Injeção de Nitrogênio (Mm³);Injeção de Vapor de Água (t);Injeção de Polímeros (m³);Injeção de Outros Fluidos (m³)
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-117H-RJS;Mar;PETROBRAS 25;4279;471;0;191;43721;0;6936;382;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-12D-RJS;Mar;PETROBRAS 31;9427;986;0;890;83108;0;10698;512;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-130HP-RJS;Mar;PETROBRAS 25;4581;7172;0;487;48158;0;9308;45468;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-132HP-RJS;Mar;PETROBRAS 25;9895;15996;0;661;77122;0;3626;69;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-13HA-RJS;Mar;PETROBRAS 31;2885;452;0;173;99019;0;980;843;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-17-RJS;Mar;PETROBRAS 25;1492;972;0;307;51436;0;8277;89;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-23D-RJS;Mar;PETROBRAS 25;4354;4;0;818;31401;0;9679;833;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-26D-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-27DA-RJS;Mar;PETROBRAS 25;3578;819;0;386;38165;0;9663;1;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-30DA-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-46D-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-47D-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-50DB-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-53DA-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-55H-RJS;Mar;PETROBRAS 31;3101;624;0;194;91039;0;594;657;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-57HA-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-59H-RJS;Mar;PETROBRAS 31;3019;92;0;227;86486;0;1380;422;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-63HA-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-64HA-RJS;Mar;PETROBRAS 31;5059;163;0;305;1751;0;454;79;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-6D-RJS;Mar;PETROBRAS 31;3260;645;0;298;52629;0;1442;183;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-75-RJS;Mar;PETROBRAS 25;4597;82778;0;469;829;0;6913;83784;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-78H-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-80H-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-81HP-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-83HP-RJS;Mar;PETROBRAS 50;112;5676;0;22;9499;0;391;8876;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-89HA-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-8D-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-95H-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-97HP-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-99HP-RJS;Mar;PETROBRAS 31;7095;599;0;565;83509;0;11184;324;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-AB-9D-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-13HP-RJS;Mar;PETROBRAS 50;901;72088;0;142;21986;0;687;54856;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-16HP-RJS;Mar;PETROBRAS 50;737;474;0;57;32062;0;189;13936;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-20HP-RJS;Mar;PETROBRAS 50;730;7448;0;77;82653;0;4494;50896;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-24HP-RJS;Mar;PETROBRAS 50;651;7041;0;77;32963;0;1008;69342;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-44HP-RJS;Mar;PETROBRAS 50;804;52656;0;105;35569;0;1416;13576;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-50HP-RJS;Mar;PETROBRAS 50;22;4829;0;3;29929;0;76;93923;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-54HP-RJS;Mar;PETROBRAS 50;782;9548;0;63;39419;0;2041;6548;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-56HP-RJS;Mar;PETROBRAS 50;559;30024;0;46;70036;0;5235;4396;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-78HP-RJS;Mar;PETROBRAS 50;402;7233;0;44;71376;0;927;67935;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-81HP-RJS;Mar;PETROBRAS 50;1442;51848;0;241;92597;0;4196;65952;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-84HP-RJS;Mar;PETROBRAS 50;734;69648;0;139;44986;0;1346;87776;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;7-ABL-87HP-RJS;Mar;PETROBRAS 50;1105;91608;0;107;27167;0;4086;57848;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-AB-112HP-RJS;Mar;PETROBRAS 25;;;;;;0;8989;416;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-AB-113HP-RJS;Mar;PETROBRAS 25;;;;;;0;19607;634;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-AB-123HP-RJS;Mar;PETROBRAS 25;;;;;;0;6554;44;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-AB-127D-RJS;Mar;PETROBRAS 31;;;;;;0;1890;0;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-AB-85HP-RJS;Mar;PETROBRAS 50;;;;;;0;4247;8888;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-AB-90B-RJS;Mar;PETROBRAS 25;;;;;;0;12882;4332;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-ABL-18HP-RJS;Mar;PETROBRAS 50;;;;;;0;606;6904;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-ABL-36HP-RJS;Mar;PETROBRAS 50;;;;;;0;816;4792;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-ABL-38HA-RJS;Mar;PETROBRAS 50;;;;;;0;547;9524;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-ABL-40HP-RJS;Mar;PETROBRAS 50;;;;;;0;1008;7575;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-ABL-42HPA-RJS;Mar;PETROBRAS 50;;;;;;0;4537;384;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;8-ABL-82HA-RJS;Mar;PETROBRAS 50;;;;;;0;10603;416;0;0;0;0;0
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;9-AB-135D-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA;9-AB-67-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
2021;fev/21;Rio de Janeiro;Campos;ALBACORA LESTE;6-BRSA-1250-RJS;Mar;N�o Informado;0;0;0;0;0;;;;;;;;
